FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
6362|Jaralosa Draw|Valley|AZ|04|Apache|001|344747N|1091048W|34.7964247|-109.1800926|343812N|1083252W|34.6367109|-108.5478478|1775|5823|Ceadro Spring|02/08/1980|
5075|Goat Camp Canyon|Valley|AZ|04|Greenlee|011|324821N|1091014W|32.8059018|-109.1706208|325046N|1085953W|32.84621|-108.99817|1096|3596|Sheldon|02/08/1980|11/03/2010
27306|Carrizo Wash|Valley|AZ|04|Apache|001|343620N|1092608W|34.6055892|-109.4356594|343700N|1084656W|34.6167093|-108.7822994|1693|5554|Zion Reservoir|02/08/1980|
10173|Red Wash|Stream|NM|35|San Juan|045|365318N|1085432W|36.8882|-108.90876|362903N|1090357W|36.48417|-109.06575|1439|4721|Sallies Spring|02/08/1980|05/03/2011
6259|Iron Canyon|Valley|AZ|04|Greenlee|011|325249N|1090442W|32.8803462|-109.0783974|325216N|1085925W|32.8711807|-108.9903399|1335|4380|Tillie Hall Peak|02/08/1980|
26855|Buchanan Canyon|Valley|AZ|04|Greenlee|011|332045N|1085949W|33.3458945|-108.9970109|332027N|1090514W|33.340894|-109.0872915|1727|5666|Glenwood|02/08/1980|
25354|Candovas Creek|Stream|AZ|04|Apache|001|340333N|1090258W|34.0592164|-109.0495224|340004N|1090023W|34.0011622|-109.006465|2289|7510|Loco Knoll|02/01/1992|
26361|Bitter Creek|Stream|AZ|04|Greenlee|011|325015N|1091101W|32.8375678|-109.183677|325318N|1085720W|32.8884029|-108.9556169|1079|3540|Sheldon|02/08/1980|
28840|ELC Flat|Flat|AZ|04|Apache|001|335457N|1090314W|33.915885|-109.0539647|||||2542|8340|Escudilla Mountain|02/08/1980|
1261|Falling Iron Cliffs|Cliff|AZ|04|Apache|001|360947N|1090304W|36.1630617|-109.0512077|||||2730|8957|Upper Wheatfields|02/08/1980|
1650|Blackrock Wash|Stream|AZ|04|Apache|001|364218N|1090039W|36.7049999|-109.0109301|364723N|1091020W|36.789722|-109.1723243|1638|5374|Horse Mesa|02/08/1980|
1448|Beclabito Wash|Stream|NM|35|San Juan|045|365422N|1085534W|36.9061086|-108.9262091|365044N|1090424W|36.8455547|-109.0734341|1438|4718|Sallies Spring|11/13/1980|
3516|Coyote Wash|Stream|AZ|04|Greenlee|011|323755N|1090230W|32.6320183|-109.0417271|323257N|1090700W|32.5492413|-109.1167268|1238|4062|Duncan|02/08/1980|
26990|Bullard Canyon|Valley|AZ|04|Greenlee|011|331542N|1090247W|33.2617297|-109.0464557|331919N|1090545W|33.3219444|-109.0958333|1400|4593|Maple Peak|02/08/1980|
4499|Estes Canyon|Valley|AZ|04|Cochise|003|312818N|1090532W|31.4717682|-109.0922798|312803N|1090241W|31.4675|-109.0447222|1428|4685|Guadalupe Spring|02/08/1980|08/24/2009
2850|China Camp Canyon|Valley|AZ|04|Greenlee|011|324919N|1091018W|32.8220126|-109.1717321|325210N|1085930W|32.8695141|-108.9917288|1097|3599|Sheldon|02/08/1980|
25452|Little Doubtful Canyon|Valley|NM|35|Hidalgo|023|322046N|1090241W|32.34619|-109.04478|322255N|1090441W|32.3820224|-109.0781139|1452|4764|Doubtful Canyon|02/08/1980|11/03/2010
32127|Mud Spring Mesa|Summit|AZ|04|Greenlee|011|332509N|1090249W|33.4192258|-109.0470135|||||1871|6138|Alma Mesa|02/08/1980|
8890|Oak Spring Wash|Valley|AZ|04|Apache|001|364307N|1090018W|36.7186109|-109.0050966|364459N|1090302W|36.7497222|-109.0505556|1630|5348|Horse Mesa|02/08/1980|
10534|Round Mountain Draw|Valley|AZ|04|Greenlee|011|323441N|1090224W|32.5781307|-109.0400596|323022N|1091104W|32.5061857|-109.1845047|1201|3940|Round Mountain|02/08/1980|
34588|Snare Canyon|Valley|NM|35|Catron|003|332217N|1085907W|33.3714496|-108.9853443|332010N|1090547W|33.3361719|-109.0964584|1625|5331|Glenwood|02/08/1980|12/13/2010
5416|Guadalupe Canyon|Valley|AZ|04|Cochise|003|311957N|1090519W|31.3325|-109.0886111|312808N|1090221W|31.4688889|-109.0391667|1272|4173|Guadalupe Canyon|02/08/1980|08/20/2009
29744|Harden Cienega Creek|Stream|AZ|04|Greenlee|011|331203N|1090814W|33.2008965|-109.1372913|330706N|1090243W|33.1183983|-109.0453432|1213|3980|Dix Creek|02/08/1980|
27102|Buzzard Canyon|Valley|NM|35|Catron|003|332238N|1085837W|33.3772828|-108.9770109|332042N|1090527W|33.3450606|-109.0909028|1615|5298|Alma|11/13/1980|
10905|Sand Wash|Stream|AZ|04|Greenlee|011|324555N|1090922W|32.7653472|-109.1561757|324939N|1090112W|32.8275701|-109.0200624|1097|3599|Sheldon|02/08/1980|
25454|Powers Canyon|Valley|AZ|04|Cochise|003|321534N|1090547W|32.2595241|-109.0964469|322005N|1090328W|32.3347222|-109.0577778|1222|4009|Doubtful Canyon|02/08/1980|
12758|Tse Bonito Wash|Arroyo|AZ|04|Apache|001|353759N|1090449W|35.633074|-109.080371|354309N|1085517W|35.719184|-108.9214787|2030|6660|Window Rock|02/08/1980|
8984|Olney Well Draw|Valley|AZ|04|Greenlee|011|323225N|1090221W|32.5403537|-109.0392256|323031N|1090538W|32.5086111|-109.0938889|1230|4035|Round Mountain|02/08/1980|
34817|Steeple Canyon|Valley|AZ|04|Greenlee|011|333637N|1090630W|33.610333|-109.1084063|333434N|1090203W|33.5761111|-109.0341667|1753|5751|Blue|02/08/1980|
